# Starting training
# total num. idxs: 10
# epoch train_loss val_loss train_mae test_mae val_mae time
1.000000000000000000e+00 2.142109760165935295e-01 9.929248370189756867e-02 1.126566096971123443e+02 1.110603809179896047e+02 -1.000000000000000000e+00 2.643857979774475098e+01
2.000000000000000000e+00 1.997419829066974239e-01 9.286063760321242033e-02 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 5.744611263275146484e+00
3.000000000000000000e+00 1.870065842765298580e-01 8.653307303443452669e-02 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 2.501072883605957031e+00
4.000000000000000000e+00 1.744880599012977596e-01 7.988734188834321903e-02 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 2.130810022354125977e+00
5.000000000000000000e+00 1.615877196289977336e-01 7.295387251373661175e-02 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 1.534382343292236328e+00
6.000000000000000000e+00 1.477940164134456114e-01 6.575802418440256092e-02 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 1.723008871078491211e+00
7.000000000000000000e+00 1.338102815504285947e-01 5.822120036228470297e-02 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 2.706158161163330078e+00
8.000000000000000000e+00 1.188897399775705188e-01 5.032418500405548556e-02 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 1.422477722167968750e+00
9.000000000000000000e+00 1.033873431990633002e-01 4.224465435438665151e-02 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 2.211942672729492188e+00
1.000000000000000000e+01 8.749457228136925391e-02 3.420080551404387770e-02 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 1.809647798538208008e+00
1.100000000000000000e+01 7.195327572552175088e-02 2.625503370371041340e-02 1.126566096971123443e+02 1.110603809179896047e+02 -1.000000000000000000e+00 5.941269159317016602e+00
